# 指令元数据 - 指令名称和描述
FUSE_INSTRUCTION_BREAKPOINT_NAME,断点,Breakpoint
FUSE_CONDITION_IS_ANIMATION_DESC,检查 AnimationPlayer 是否正在播放指定的动画,Checks if AnimationPlayer is playing a specific animation
FUSE_CONDITION_ANIMATION_FINISHED_NAME,动画完成,Animation Finished
FUSE_CONDITION_ANIMATION_FINISHED_DESC,检查动画是否播放完成,Checks if animation has finished playing

# Time Conditions (时间条件)
FUSE_CATEGORY_TIME,时间,Time
FUSE_CONDITION_COUNTDOWN_FINISHED_NAME,倒计时结束,Countdown Finished
FUSE_CONDITION_COUNTDOWN_FINISHED_DESC,检查倒计时是否结束,Checks if countdown has finished
FUSE_CONDITION_GAME_TIME_NAME,游戏时间,Game Time
FUSE_CONDITION_GAME_TIME_DESC,检查游戏运行时间,Checks game runtime
FUSE_CONDITION_TIME_RANGE_NAME,时间段内,Time Range
FUSE_CONDITION_TIME_RANGE_DESC,检查时间是否在指定范围内,Checks if time is within range

# Node Conditions (节点条件)
FUSE_CONDITION_IS_CHILD_OF_NAME,节点层次关系,Is Child Of
FUSE_CONDITION_IS_CHILD_OF_DESC,检查节点是否是另一个节点的子节点,Checks if node is child of another node
FUSE_CONDITION_DIRECTION_NAME,方位检测,Direction
FUSE_CONDITION_DIRECTION_DESC,检查目标相对于源节点的方位,Checks target direction relative to source
FUSE_CONDITION_FACING_DIRECTION_NAME,方向检测,Facing Direction
FUSE_CONDITION_FACING_DIRECTION_DESC,检查节点当前朝向,Checks node's current facing direction

# Physics Conditions (物理条件)
FUSE_CONDITION_IS_FALLING_NAME,正在下落,Is Falling
FUSE_CONDITION_IS_FALLING_DESC,检查节点是否正在下落,Checks if node is falling
FUSE_CONDITION_VELOCITY_NAME,速度检测,Velocity
FUSE_CONDITION_VELOCITY_DESC,检查节点速度,Checks node velocity
FUSE_CONDITION_ON_WALL_NAME,在墙壁上,On Wall
FUSE_CONDITION_ON_WALL_DESC,检查节点是否在墙壁上,Checks if node is on wall

# Variable/Health Conditions (变量/生命值条件)
FUSE_CONDITION_HEALTH_VALUE_NAME,生命值检测,Health Value
FUSE_CONDITION_HEALTH_VALUE_DESC,检查生命值是否等于指定值,Checks if health equals specified value
FUSE_CONDITION_COMPARE_HEALTH_THRESHOLD_NAME,生命值低于/高于,Compare Health Threshold
FUSE_CONDITION_COMPARE_HEALTH_THRESHOLD_DESC,对比生命值与阈值,Compares health value against threshold

# AnimationTree State Condition (AnimationTree 状态条件)
FUSE_CONDITION_ANIMATION_TREE_STATE_NAME,AnimationTree 状态,AnimationTree State
FUSE_CONDITION_ANIMATION_TREE_STATE_DESC,检查 AnimationTree 状态机是否处于指定状态,Checks if AnimationTree StateMachine is in specified state
FUSE_ERROR_SPEED_MUST_BE_POSITIVE,速度值必须大于 0,Speed value must be greater than 0
FUSE_LOG_SET_ANIMATION_SPEED,设置动画速度: {node} → {speed}x,Set animation speed: {node} → {speed}x
FUSE_ERROR_TARGET_NODE_EMPTY,目标节点不能为空,Target node cannot be empty
FUSE_INSTRUCTION_SET_ANIMATION_SPEED_DESC,设置 {node} 动画速度为 {speed}x,Set {node} animation speed to {speed}x
FUSE_ERROR_NOT_ANIMATION_PLAYER,节点不是 AnimationPlayer 类型,Node is not an AnimationPlayer type
FUSE_LOG_PAUSE_ANIMATION,暂停动画: {name},Pause animation: {name}
FUSE_LOG_STOP_ANIMATION,停止动画: {name},Stop animation: {name}
FUSE_ERROR_LIMIT_OUT_OF_RANGE,边界值超出有效范围,Limit value out of valid range
FUSE_LOG_SET_CAMERA_LIMIT,设置相机边界 {side}: {value},Set camera limit {side}: {value}
FUSE_ERROR_CAMERA_NODE_EMPTY,目标相机节点不能为空,Target camera node cannot be empty
FUSE_ERROR_NOT_CAMERA2D,节点不是 Camera2D 类型,Node is not Camera2D type
FUSE_ERROR_ZOOM_MUST_BE_POSITIVE,缩放值必须大于 0,Zoom value must be greater than 0
FUSE_LOG_SET_CAMERA_ZOOM,设置相机缩放: {node} → {zoom},Set camera zoom: {node} → {zoom}
FUSE_ERROR_ZOOM_VAR_NAME_EMPTY,缩放变量名不能为空,Zoom variable name cannot be empty
FUSE_ERROR_NO_GLOBAL_VAR_ASSISTANT,未检测到 GlobalVariableAssistant 节点,GlobalVariableAssistant node not detected
FUSE_WARNING_EXECUTION_CONTEXT_NULL,执行上下文为空,Execution context is null
FUSE_LOG_GET_GLOBAL_VAR_SUCCESS,成功获取 GlobalVariableAssistant 单例，资源路径: {path},Successfully got GlobalVariableAssistant singleton, resource path: {path}
FUSE_ERROR_VAR_NAME_EMPTY,变量名称不能为空,Variable name cannot be empty
FUSE_ERROR_VAR_NAME_INVALID,变量名称包含无效字符或格式不正确,Variable name contains invalid characters or incorrect format
FUSE_ERROR_NO_SCENE_TREE,无法获取 SceneTree,Cannot get SceneTree
FUSE_LOG_BREAK_DETECTED,检测到 break 标志，跳出循环（索引: {index}）,Break flag detected, exiting loop (index: {index})
FUSE_LOG_CONTINUE_DETECTED,检测到 continue 标志，跳过本次迭代（索引: {index}）,Continue flag detected, skipping iteration (index: {index})
FUSE_WARNING_SKIP_EMPTY_INSTRUCTION,跳过空指令,Skip empty instruction
FUSE_WARNING_INSTRUCTION_NOT_SYNCED,指令未同步完成: {name},Instruction not synced: {name}
FUSE_WARNING_SYNC_MODE_WITH_ASYNC_INSTRUCTION,⚠️ 警告：同步模式下包含异步指令 "{instruction}"，该指令可能不会正确执行。建议将 ForEach 切换为异步模式。,⚠️ Warning: Synchronous mode contains async instruction "{instruction}", which may not execute correctly. Consider switching ForEach to asynchronous mode.
FUSE_ERROR_NEGATIVE_LOOP_COUNT,循环次数不能为负数: {count},Loop count cannot be negative: {count}
FUSE_WARNING_LOOP_COUNT_TOO_LARGE,循环次数过大: {count}，可能导致性能问题,Loop count too large: {count}, may cause performance issues
FUSE_LOG_START_FOR_LOOP,开始 For Loop，将执行 {count} 次迭代,Starting For Loop, will execute {count} iterations
FUSE_LOG_FOR_LOOP_COMPLETED,For Loop 完成，执行了 {count} 次迭代,For Loop completed, executed {count} iterations
FUSE_LOG_DEBUG_FOR_LOOP_RESET,For Loop 状态已重置,For Loop state reset
FUSE_LOG_SET_INDEX_VARIABLE,设置索引变量: {var} = {value},Set index variable: {var} = {value}
FUSE_LOG_EXECUTE_ITERATION,执行迭代 {current}/{total},Execute iteration {current}/{total}
FUSE_ERROR_LOOP_COUNT_VAR_NAME_EMPTY,循环次数变量名不能为空,Loop count variable name cannot be empty
FUSE_ERROR_INDEX_VARIABLE_EMPTY,索引变量名不能为空,Index variable name cannot be empty

# Input Action Event - Enum Hints
FUSE_ENUM_TRIGGER_MODE,刚按下,刚释放,按住,按下或释放,Just Pressed,Just Released,Hold,Pressed or Released

# Input Action Event - Resource Names
FUSE_EVENT_INPUT_ACTION_NOT_SET,未设置,Not Set
FUSE_EVENT_INPUT_ACTION_RESOURCE_NAME,输入动作: {action},Input Action: {action}
FUSE_EVENT_INPUT_ACTION_WITH_COUNT,输入动作: {action} ({count}个事件),Input Action: {action} ({count} events)

# Input Action Event - Trigger Modes
FUSE_TRIGGER_MODE_JUST_PRESSED,刚按下时,When just pressed
FUSE_TRIGGER_MODE_JUST_RELEASED,刚释放时,When just released
FUSE_TRIGGER_MODE_HOLD,按住时,When holding
FUSE_TRIGGER_MODE_PRESSED_OR_RELEASED,按下或释放时,When pressed or released

# Input Action Event - Descriptions
FUSE_EVENT_ON_INPUT_ACTION_DESC_WHEN,当 {action} {mode} 触发,Triggered when {action} {mode}
FUSE_EVENT_ON_INPUT_ACTION_DESC_ONCE,仅首次,Once only
FUSE_EVENT_ON_INPUT_ACTION_DESC_EVERY_TIME,每次,Every time

# Input Action Event - Validation Errors
FUSE_ERROR_INPUT_ACTION_NOT_SET,未设置 'Target Input Action','Target Input Action' not set
FUSE_ERROR_INPUTMAP_NOT_AVAILABLE,InputMap 不可用,InputMap not available
FUSE_ERROR_INPUT_ACTION_NOT_EXISTS,Input Action '{action}' 在项目中不存在,Input Action '{action}' does not exist in project
FUSE_ERROR_INPUT_ACTION_NO_EVENTS,Input Action '{action}' 没有绑定任何输入事件,Input Action '{action}' has no input events bound

# Input Key Event - Enum Hints
FUSE_ENUM_KEY_TRIGGER_MODE,按下:0,释放:1,持续按下:2,Pressed:0,Released:1,Held:2

# Input Key Event - Resource Names
FUSE_EVENT_INPUT_KEY_RESOURCE_NAME,按键{mode} [{key}] [{timing}],Key {mode} [{key}] [{timing}]
FUSE_EVENT_INPUT_KEY_NOT_SET,未设置,Not Set
FUSE_EVENT_INPUT_KEY_MODE_PRESSED,按键按下,Key Pressed
FUSE_EVENT_INPUT_KEY_MODE_RELEASED,按键释放,Key Released
FUSE_EVENT_INPUT_KEY_MODE_HELD,按键持续按下,Key Held
FUSE_EVENT_INPUT_KEY_TIMING_ONCE,仅一次,Once
FUSE_EVENT_INPUT_KEY_TIMING_DELAY,延迟 {delay},{Delay} {delay}
FUSE_EVENT_INPUT_KEY_TIMING_INTERVAL,间隔 {interval},{Interval} {interval}

# Input Key Event - Descriptions
FUSE_EVENT_ON_INPUT_KEY_DESC,{mode} {key} 键 [{timing}],When {key} key {mode} [{timing}]
FUSE_EVENT_ON_INPUT_KEY_MODE_ONCE,仅检测一次,Detect only once
FUSE_EVENT_ON_INPUT_KEY_MODE_DELAY,有 {delay} 秒延迟,With {delay}s delay
FUSE_EVENT_ON_INPUT_KEY_MODE_INTERVAL,每次触发间隔 {interval} 秒,Interval {interval}s between triggers

# Input Key Event - Validation Errors
FUSE_ERROR_KEY_CODE_NOT_SET,必须指定有效的按键代码,Must specify valid key code
FUSE_ERROR_KEY_DELAY_NEGATIVE,延迟时间不能为负数,Delay time cannot be negative
FUSE_ERROR_KEY_INTERVAL_TOO_SMALL,间隔时间不能小于 0.1 秒,Interval cannot be less than 0.1s
# Mouse Button Event - Enum Hints
FUSE_ENUM_MOUSE_BUTTON,左键:1,右键:2,中键:3,滚轮上:4,滚轮下:5,Left:1,Right:2,Middle:3,Wheel Up:4,Wheel Down:5
FUSE_ENUM_MOUSE_TRIGGER_MODE,按下,释放,双击,Pressed,Released,Double Click

# Mouse Button Event - Resource Names
FUSE_EVENT_MOUSE_BUTTON_NOT_SET,未设置,Not Set
FUSE_EVENT_MOUSE_BUTTON_RESOURCE_NAME,鼠标{button} [{mode}],Mouse {button} [{mode}]
FUSE_EVENT_MOUSE_BUTTON_MODE_PRESSED,按下,Pressed
FUSE_EVENT_MOUSE_BUTTON_MODE_RELEASED,释放,Released
FUSE_EVENT_MOUSE_BUTTON_MODE_DOUBLE_CLICK,双击,Double Click
FUSE_EVENT_MOUSE_BUTTON_REQUIRE_HOVERED,需悬停,Require Hover

# Mouse Button Event - Descriptions
FUSE_EVENT_ON_MOUSE_BUTTON_DESC,{button} {mode} [{timing}],When {button} {mode} [{timing}]
FUSE_EVENT_ON_MOUSE_BUTTON_TIMING_ONCE,仅检测一次,Detect only once
FUSE_EVENT_ON_MOUSE_BUTTON_TIMING_HOVERED,需要悬停在目标节点上,Requires hovering over target node

# Mouse Button Event - Mouse Button Names
FUSE_EVENT_MOUSE_BUTTON_LEFT,左键,Left
FUSE_EVENT_MOUSE_BUTTON_RIGHT,右键,Right
FUSE_EVENT_MOUSE_BUTTON_MIDDLE,中键,Middle
FUSE_EVENT_MOUSE_BUTTON_WHEEL_UP,滚轮上,Wheel Up
FUSE_EVENT_MOUSE_BUTTON_WHEEL_DOWN,滚轮下,Wheel Down

# Mouse Move Event - Resource Names
FUSE_EVENT_MOUSE_MOVE_CONTINUOUS,持续触发,Continuous Trigger
FUSE_EVENT_MOUSE_MOVE_THRESHOLD,阈值触发,Threshold Trigger
FUSE_EVENT_MOUSE_MOVE_NEED_HOVER,需悬停,Require Hover
FUSE_EVENT_MOUSE_MOVE_RESOURCE_NAME,鼠标移动 [{mode}] [{threshold}],Mouse Move [{mode}] [{threshold}]
FUSE_EVENT_MOUSE_MOVE_THRESHOLD_VALUE,阈值:{value}px,Threshold:{value}px

# Mouse Move Event - Descriptions
FUSE_EVENT_ON_MOUSE_MOVE_DESC,当鼠标移动时触发 ({mode}) {hovered},When mouse moves ({mode}) {hovered}
FUSE_EVENT_ON_MOUSE_MOVE_MODE_CONTINUOUS,持续触发,Continuous trigger
FUSE_EVENT_ON_MOUSE_MOVE_MODE_THRESHOLD,阈值 {value} 像素触发,Threshold {value} pixels trigger
FUSE_EVENT_ON_MOUSE_MOVE_HOVERED,需要悬停在目标节点上,Requires hovering over target node

# Mouse Enter Event - Resource Names
FUSE_EVENT_MOUSE_ENTER_CURRENT_NODE,当前节点,Current Node
FUSE_EVENT_MOUSE_ENTER_RESOURCE_NAME,鼠标进入: {target} [{timing}],Mouse Enter: {target} [{timing}]
FUSE_EVENT_MOUSE_ENTER_ONCE,仅一次,Once only
FUSE_EVENT_MOUSE_ENTER_REPEAT,可重复,Repeatable

# Mouse Enter Event - Descriptions
FUSE_EVENT_ON_MOUSE_ENTER_DESC,当鼠标进入 {target} 时触发 {timing},When mouse enters {target} {timing}
FUSE_EVENT_ON_MOUSE_ENTER_TIMING_ONCE,（每次进入仅触发一次）,(triggers only once per enter)
FUSE_EVENT_ON_MOUSE_ENTER_TIMING_REPEAT,（可重复触发）,(repeatable)

# Mouse Exit Event - Resource Names
FUSE_EVENT_MOUSE_EXIT_CURRENT_NODE,当前节点,Current Node
FUSE_EVENT_MOUSE_EXIT_RESOURCE_NAME,鼠标离开: {target} [{timing}],Mouse Exit: {target} [{timing}]
FUSE_EVENT_MOUSE_EXIT_ONCE,仅一次,Once only
FUSE_EVENT_MOUSE_EXIT_REPEAT,可重复,Repeatable

# Mouse Exit Event - Descriptions
FUSE_EVENT_ON_MOUSE_EXIT_DESC,当鼠标离开 {target} 时触发 {timing},When mouse exits {target} {timing}
FUSE_EVENT_ON_MOUSE_EXIT_TIMING_ONCE,（每次离开仅触发一次）,(triggers only once per exit)
FUSE_EVENT_ON_MOUSE_EXIT_TIMING_REPEAT,（可重复触发）,(repeatable)
# Mouse Button Event - Validation Errors
FUSE_ERROR_EVENT_INVALID_MOUSE_BUTTON,无效的鼠标按键,Invalid mouse button

# Area2D Enter Event - Resource Names
FUSE_EVENT_AREA_2D_ANY,任何物体,Any Body
FUSE_EVENT_AREA_2D_RESOURCE_NAME_FIRST,当 {body} 首次进入 {area} 时触发,Triggered when {body} first enters {area}
FUSE_EVENT_AREA_2D_RESOURCE_NAME_EVERY,当 {body} 进入 {area} 时触发,Triggered when {body} enters {area}
FUSE_EVENT_AREA_2D_ONCE,仅首次,First time only
FUSE_EVENT_AREA_2D_EVERY,每次,Every time

# Area2D Enter Event - Validation Errors
FUSE_ERROR_AREA_2D_NOT_SPECIFIED,必须指定 Area2D 节点路径,Must specify Area2D node path
FUSE_WARNING_AREA_2D_RUNTIME_VALIDATION,警告：Area2D 节点路径将在运行时验证,Warning: Area2D node path will be validated at runtime

# Body Entered Event - Resource Names
FUSE_EVENT_BODY_ENTERED_GROUP,组: {group},Group: {group}
FUSE_EVENT_BODY_ENTERED_RESOURCE_NAME,物体进入: {body} [{group}] [{once}],Body Enter: {body} [{group}] [{once}]
FUSE_EVENT_BODY_ENTERED_ONCE,仅一次,Once only
FUSE_EVENT_BODY_ENTERED_REPEAT,可重复,Repeatable

# Collision Event - Resource Names
FUSE_EVENT_COLLISION_LAYER_MASK,层掩码: {mask},Layer Mask: {mask}
FUSE_EVENT_COLLISION_RESOURCE_NAME,碰撞: {mask},Collision: {mask}
FUSE_EVENT_COLLISION_ON_ENTER,进入时,On Enter
FUSE_EVENT_COLLISION_ON_EXIT,退出时,On Exit
FUSE_EVENT_COLLISION_BOTH,两者,Both

# Collision Event - Validation Errors
FUSE_ERROR_COLLISION_LAYER_MASK_INVALID,碰撞层掩码超出有效范围,Collision layer mask out of valid range

# Find Node Instruction - Search Types
FUSE_SEARCH_TYPE_BY_NAME,按名称,By Name
FUSE_SEARCH_TYPE_BY_TYPE,按类型,By Type
FUSE_SEARCH_TYPE_BY_GROUP,按组,By Group

# Find Node Instruction - Search Scopes
FUSE_SEARCH_SCOPE_CHILDREN,子节点中,In Children
FUSE_SEARCH_SCOPE_SCENE,场景中,In Scene
FUSE_SEARCH_SCOPE_GLOBAL,全局,Global

# Find Node Instruction - Error Handling Modes
FUSE_ERROR_HANDLING_STRICT,严格模式,Strict Mode
FUSE_ERROR_HANDLING_SILENT,静默模式,Silent Mode
FUSE_ERROR_HANDLING_WARNING,警告模式,Warning Mode

# Find Node Instruction - Resource Names and Descriptions
FUSE_INSTRUCTION_FIND_NODE_RESOURCE_BASE,查找节点,Find Node
FUSE_INSTRUCTION_FIND_NODE_NO_SEARCH_VALUE,(未指定搜索值),(no search value)
FUSE_INSTRUCTION_FIND_NODE_NO_VARIABLE,-> [未指定变量],-> [no variable]
FUSE_INSTRUCTION_FIND_NODE_LOCAL_VAR,局部,Local
FUSE_INSTRUCTION_FIND_NODE_GLOBAL_VAR,全局,Global
FUSE_INSTRUCTION_FIND_NODE_VAR_TEMPLATE,-> {var_type}变量'{var}',-> {var_type} var '{var}'
FUSE_INSTRUCTION_FIND_NODE_IN_TEMPLATE,在{scope},in {scope}

# Find Node Instruction - Dynamic Descriptions
FUSE_INSTRUCTION_FIND_NODE_DESC_BASE,按{type}查找节点 '{value}'，在{scope},Find node '{value}' by {type}, in {scope}
FUSE_INSTRUCTION_FIND_NODE_DESC_FIRST_MATCH,，返回第一个匹配项, returns first match only
FUSE_INSTRUCTION_FIND_NODE_DESC_ALL_MATCHES,，返回所有匹配项, returns all matches
FUSE_INSTRUCTION_FIND_NODE_DESC_VAR_TYPE,，保存到{var_type}变量 '{var}', save to {var_type} var '{var}'

# Find Node Instruction - Logs and Errors
FUSE_LOG_FIND_NODE_CANNOT_GET_ROOT,无法确定搜索根节点,Cannot determine search root node
FUSE_LOG_FIND_NODE_NOT_FOUND,未找到节点: {value} (搜索: {type}, 范围: {scope}),Node not found: {value} (search: {type}, scope: {scope})
FUSE_LOG_FIND_NODE_NOT_FOUND_SILENT,未找到节点（静默模式）: {value},Node not found (silent mode): {value}
FUSE_LOG_FIND_NODE_FOUND_MULTIPLE,找到 {count} 个匹配的节点,Found {count} matching nodes
FUSE_LOG_FIND_NODE_FOUND_SINGLE,找到节点路径: {path},Found node path: {path}
FUSE_LOG_FIND_NODE_SAVED_TO_GLOBAL,已保存到全局变量 '{var}',Saved to global variable '{var}'
FUSE_LOG_FIND_NODE_SAVED_TO_LOCAL,已保存到局部变量 '{var}',Saved to local variable '{var}'
FUSE_LOG_FIND_NODE_GLOBAL_VAR_NOT_INIT,全局变量管理器未初始化,Global variable manager not initialized

# Find Node Instruction - Validation Errors
FUSE_ERROR_FIND_NODE_SEARCH_VALUE_EMPTY,搜索值不能为空,Search value cannot be empty
FUSE_ERROR_FIND_NODE_RESULT_VAR_EMPTY,结果变量名不能为空,Result variable name cannot be empty

# Target Signal Emit Event - Resource Names
FUSE_EVENT_TARGET_SIGNAL_RESOURCE_NAME,信号监听 → {node} :: {signal},Signal Listen → {node} :: {signal}
FUSE_EVENT_TARGET_SIGNAL_NO_NODE,→ 未选择节点,→ No Node Selected
FUSE_EVENT_TARGET_SIGNAL_NO_SIGNAL,:: 未选择信号,:: No Signal Selected
FUSE_EVENT_TARGET_SIGNAL_ONCE,[仅一次],[Once]
FUSE_EVENT_TARGET_SIGNAL_DESC_TRIGGERED,当 {node} 节点发出 {signal} 信号时触发{once},Triggers when {node} node emits {signal} signal{once}
FUSE_EVENT_TARGET_SIGNAL_DESC_ONLY_ONCE, (仅一次), (once only)

# Target Signal Emit Event - Property List
FUSE_EVENT_TARGET_SIGNAL_PLACEHOLDER_SELECT_NODE,请先选择目标节点,Please select target node first
FUSE_EVENT_TARGET_SIGNAL_PLACEHOLDER_NO_SIGNAL,目标节点没有可用信号,Target node has no available signals

# Target Signal Emit Event - Validation Errors
FUSE_ERROR_TARGET_SIGNAL_NODE_REQUIRED,必须指定目标节点,Must specify target node
FUSE_ERROR_TARGET_SIGNAL_SIGNAL_REQUIRED,必须指定目标信号,Must specify target signal

# Run Target Node Function - Method Inheritance Filter
FUSE_METHOD_INHERITANCE_ALL_LEVELS,所有级别,All Levels
FUSE_METHOD_INHERITANCE_CURRENT_CLASS_ONLY,仅当前类,Current Class Only
FUSE_METHOD_INHERITANCE_PARENT_CLASS_ONLY,仅父类,Parent Class Only
FUSE_METHOD_INHERITANCE_CURRENT_AND_PARENT,当前类+父类,Current + Parent
FUSE_METHOD_INHERITANCE_CURRENT_AND_TWO_PARENTS,当前类+前两级父类,Current + Two Parents

# Run Target Node Function - Resource Name
FUSE_INSTRUCTION_RUN_FUNCTION_BASE,运行节点函数,Run Node Function
FUSE_INSTRUCTION_RUN_FUNCTION_NO_NODE,→ 未选择节点,→ No Node Selected
FUSE_INSTRUCTION_RUN_FUNCTION_CALL,调用: {function},Call: {function}
FUSE_INSTRUCTION_RUN_FUNCTION_NO_FUNCTION,调用: 未选择函数,Call: No Function Selected
FUSE_INSTRUCTION_RUN_FUNCTION_PARAMS,参数: {count} 个,Parameters: {count}
FUSE_INSTRUCTION_RUN_FUNCTION_STORE_TO,存储到 {scope}变量: {name},Store to {scope} Variable: {name}
FUSE_INSTRUCTION_RUN_FUNCTION_STORE_UNNAMED,存储结果（未命名）,Store Result (Unnamed)

# Run Target Node Function - Description
FUSE_INSTRUCTION_RUN_FUNCTION_DESC_IN_NODE,在节点 '{node}',In Node '{node}'
FUSE_INSTRUCTION_RUN_FUNCTION_DESC_NO_NODE,在未选择节点,In No Node Selected
FUSE_INSTRUCTION_RUN_FUNCTION_DESC_CALL,调用函数 '{function}',Call Function '{function}'
FUSE_INSTRUCTION_RUN_FUNCTION_DESC_NO_FUNCTION,调用未选择函数,Call No Function Selected
FUSE_INSTRUCTION_RUN_FUNCTION_DESC_USING_PARAMS,使用 {count} 个参数,Using {count} Parameters
FUSE_INSTRUCTION_RUN_FUNCTION_DESC_STORE_RESULT,并存储结果,And Store Result
FUSE_INSTRUCTION_RUN_FUNCTION_DESC_STORE_TO,并将结果存储到 {scope}变量 '{name}',And Store Result to {scope} Variable '{name}'

# Run Target Node Function - Validation Errors
FUSE_ERROR_TARGET_NODE_PATH_EMPTY,目标节点路径不能为空,Target node path cannot be empty
FUSE_ERROR_TARGET_FUNCTION_NAME_EMPTY,目标函数名不能为空,Target function name cannot be empty
FUSE_ERROR_FUNCTION_NOT_CALLABLE,函数不存在或不可调用: {function},Function does not exist or is not callable: {function}
FUSE_ERROR_FUNCTION_PARAMS_VALIDATION_FAILED,函数参数验证失败,Function parameter validation failed
FUSE_ERROR_RESULT_VARIABLE_NAME_EMPTY,结果变量名不能为空,Result variable name cannot be empty

# Run Target Node Function - Placeholder Text
FUSE_METHOD_FILTER_NO_METHODS,目标节点没有可用方法,Target node has no available methods
FUSE_METHOD_FILTER_SELECT_NODE_FIRST,请先选择目标节点,Please select target node first
FUSE_LOG_FUNCTION_CHANGED,函数从 '{old_function}' 更改为 '{new_function}',Function changed from '{old_function}' to '{new_function}'
FUSE_ERROR_CONTEXT_NO_VARIABLE_SUPPORT,执行上下文不支持变量添加,Execution context does not support variable addition
FUSE_ERROR_TARGET_NODE_OR_FUNCTION_EMPTY,目标节点或函数名为空,Target node or function name is empty

# ========================================
# Audio Instructions - Resource Names & Descriptions
# ========================================

# Pause/Resume Audio Instruction
FUSE_INSTRUCTION_PAUSE_RESUME_AUDIO_RESOURCE_PAUSE,暂停,Pause
FUSE_INSTRUCTION_PAUSE_RESUME_AUDIO_RESOURCE_RESUME,恢复,Resume
FUSE_INSTRUCTION_PAUSE_RESUME_AUDIO_TARGET_SPECIFIC,播放器 '{player}',Player '{player}'
FUSE_INSTRUCTION_PAUSE_RESUME_AUDIO_TARGET_NO_PLAYER,未指定播放器,No Player Specified
FUSE_INSTRUCTION_PAUSE_RESUME_AUDIO_TARGET_BUS,总线 '{bus}',Bus '{bus}'
FUSE_INSTRUCTION_PAUSE_RESUME_AUDIO_TARGET_PATTERN,模式 '{pattern}',Pattern '{pattern}'
FUSE_INSTRUCTION_PAUSE_RESUME_AUDIO_TARGET_ALL,(所有正在播放),(All Playing)
FUSE_INSTRUCTION_PAUSE_RESUME_AUDIO_DESC_SPECIFIED,已指定,Specified
FUSE_INSTRUCTION_PAUSE_RESUME_AUDIO_DESC_BUS,总线 '{bus}',Bus '{bus}'
FUSE_INSTRUCTION_PAUSE_RESUME_AUDIO_DESC_NAME,名称 '{name}',Name '{name}'
FUSE_INSTRUCTION_PAUSE_RESUME_AUDIO_DESC_ALL,所有正在播放的音频,All Playing Audio
FUSE_INSTRUCTION_PAUSE_RESUME_AUDIO_DESC_ACTION_TARGET,{action} {target},{action} {target}
FUSE_INSTRUCTION_PAUSE_RESUME_AUDIO_LOG_PAUSED,已暂停,paused
FUSE_INSTRUCTION_PAUSE_RESUME_AUDIO_LOG_RESUMED,已恢复,resumed
FUSE_INSTRUCTION_PAUSE_RESUME_AUDIO_LOG_COUNT,已{action} {count} 个音频播放器,{action} {count} audio players
FUSE_INSTRUCTION_PAUSE_RESUME_AUDIO_LOG_NO_TARGET,未找到目标音频播放器,Target audio players not found

# Play Music Instruction
FUSE_INSTRUCTION_PLAY_MUSIC_RESOURCE_BASE,播放音乐,Play Music
FUSE_INSTRUCTION_PLAY_MUSIC_RESOURCE_NO_MUSIC,未指定音乐,No Music Specified
FUSE_INSTRUCTION_PLAY_MUSIC_RESOURCE_VOLUME,(音量 {volume}%%),(Volume {volume}%%)
FUSE_INSTRUCTION_PLAY_MUSIC_RESOURCE_LOOP,(循环),(Loop)
FUSE_INSTRUCTION_PLAY_MUSIC_RESOURCE_FADE,(淡入 {duration}秒),(Fade In {duration}s)
FUSE_INSTRUCTION_PLAY_MUSIC_RESOURCE_CONTINUE_DURING_PAUSE,(暂停时继续),(Ignore Pause)
FUSE_INSTRUCTION_PLAY_MUSIC_DESC_VOLUME,音量 {volume}%%,Volume {volume}%%
FUSE_INSTRUCTION_PLAY_MUSIC_DESC_LOOP,循环,Loop
FUSE_INSTRUCTION_PLAY_MUSIC_DESC_BUS,总线: {bus},Bus: {bus}
FUSE_INSTRUCTION_PLAY_MUSIC_DESC_FADE,淡入 {duration}秒,Fade In {duration}s
FUSE_INSTRUCTION_PLAY_MUSIC_DESC_CONTINUE_DURING_PAUSE,暂停时继续,Ignore Pause
FUSE_INSTRUCTION_PLAY_MUSIC_DESC_FILE,{file} {options},Music {file}{options}
FUSE_INSTRUCTION_PLAY_MUSIC_LOG_PLAYING,播放音乐: {file},Playing music: {file}
FUSE_INSTRUCTION_PLAY_MUSIC_VALIDATE_PATH_EMPTY,音乐路径不能为空,Music path cannot be empty
FUSE_INSTRUCTION_PLAY_MUSIC_VALIDATE_VOLUME_RANGE,音量必须在 0.0 到 1.0 之间,Volume must be between 0.0 and 1.0
FUSE_INSTRUCTION_PLAY_MUSIC_VALIDATE_BUS_NOT_EXIST,混音器总线 '{bus}' 不存在,Audio bus '{bus}' does not exist
FUSE_INSTRUCTION_PLAY_MUSIC_VALIDATE_FADE_DURATION,淡入时间必须大于 0,Fade duration must be greater than 0

# Crossfade to Music Instruction
FUSE_INSTRUCTION_CROSSFADE_TO_MUSIC_RESOURCE_BASE,交叉淡入淡出,Crossfade
FUSE_INSTRUCTION_CROSSFADE_TO_MUSIC_RESOURCE_NO_MUSIC,未指定音乐,No Music Specified
FUSE_INSTRUCTION_CROSSFADE_TO_MUSIC_RESOURCE_VOLUME,(音量 {volume}%%),(Volume {volume}%%)
